chr start_position(hg38) RY1 RY2 RY3 RY4 WS1 WS2 WS3 WS4
2 60467002 369 791 347 813 748 412 412 748
2 60467003 805 355 819 341 385 775 785 375
2 60467006 800 360 812 348 384 776 796 364
2 60467009 794 366 816 344 398 762 800 360
2 60467012 810 350 824 336 393 767 783 377
2 60467015 811 349 817 343 393 767 777 383
2 60467018 795 365 813 347 378 782 792 368
2 60467023 360 800 348 812 761 399 395 765
2 60467024 807 353 815 345 374 786 800 360
2 60467030 815 345 809 351 379 781 785 375
2 60467041 344 816 362 798 791 369 415 745
2 60467042 817 343 803 357 392 768 762 398
2 60467045 814 346 798 362 365 795 791 369
2 60467048 816 344 796 364 368 792 768 392
2 60467051 819 341 801 359 367 793 759 401
2 60467054 820 340 784 376 366 794 778 382
2 60467056 342 818 370 790 758 402 408 752
2 60467057 827 333 797 363 384 776 786 374
2 60467059 347 813 369 791 764 396 398 762
2 60467060 821 339 795 365 366 794 784 376
2 60467063 824 336 796 364 374 786 754 406
2 60467066 813 347 801 359 374 786 776 384
2 60467069 818 342 792 368 368 792 772 388
2 60467071 348 812 378 782 767 393 403 757
2 60467072 813 347 795 365 380 780 776 384
2 60467093 818 342 780 380 382 778 778 382
2 60467102 812 348 770 390 382 778 762 398
2 60467104 348 812 384 776 771 389 419 741
2 60467108 816 344 784 376 388 772 764 396
2 60467114 816 344 792 368 372 788 750 410
2 60467123 816 344 774 386 394 766 766 394
2 121610095 602 558 602 558 769 391 339 821
2 121610122 619 541 601 559 788 372 348 812
2 121610275 597 563 587 573 796 364 348 812
2 121610302 593 567 615 545 814 346 354 806
2 121610329 594 566 598 562 813 347 377 783
2 121610338 602 558 618 542 818 342 366 794
2 121610374 581 579 615 545 815 345 357 803
2 121610383 584 576 604 556 817 343 357 803
2 121610410 601 559 595 565 819 341 365 795
2 121610446 587 573 609 551 816 344 354 806
2 121610491 595 565 605 555 813 347 399 761
3 126861635 700 460 690 470 782 378 346 814
3 126861737 703 457 697 463 779 381 343 817
3 126861866 707 453 711 449 812 348 370 790
3 126861968 708 452 704 456 796 364 344 816
3 126861989 714 446 698 462 789 371 347 813
3 126862088 702 458 710 450 792 368 342 818
3 126862139 706 454 718 442 813 347 365 795
3 126862253 711 449 705 455 789 371 347 813
3 126862313 708 452 718 442 810 350 348 812
3 126862340 687 473 703 457 809 351 345 815
3 126862361 697 463 715 445 814 346 362 798
3 126862385 694 466 718 442 818 342 348 812
3 126862430 695 465 715 445 812 348 360 800
3 126862439 698 462 704 456 811 349 343 817
3 126862454 687 473 709 451 812 348 366 794
3 126862505 693 467 715 445 804 356 348 812
3 126862628 706 454 696 464 809 351 347 813
3 126862637 696 464 694 466 796 364 338 822
3 126862664 692 468 706 454 806 354 340 820
3 126862709 693 467 695 465 797 363 347 813
3 126862712 694 466 710 450 799 361 345 815
3 126862736 685 475 711 449 818 342 354 806
3 126862781 700 460 710 450 812 348 356 804
3 126862790 699 461 695 465 812 348 354 806
3 126862811 695 465 705 455 810 350 346 814
3 126862826 698 462 700 460 811 349 339 821
3 126862835 702 458 708 452 823 337 347 813
3 126862859 698 462 706 454 814 346 354 806
3 126862880 709 451 713 447 827 333 353 807
3 126862889 701 459 709 451 802 358 348 812
3 126862925 706 454 710 450 829 331 351 809
3 126862940 697 463 701 459 814 346 370 790
3 126862949 691 469 695 465 814 346 370 790
3 126863015 703 457 713 447 813 347 359 801
3 126863024 707 453 701 459 804 356 348 812
3 126863042 712 448 694 466 817 343 373 787
3 126863069 720 440 678 482 813 347 379 781
4 6511165 784 376 814 346 362 798 792 368
4 6511171 793 367 817 343 386 774 784 376
4 6511174 784 376 816 344 372 788 794 366
4 6511183 792 368 812 348 374 786 804 356
4 6511186 796 364 820 340 383 777 787 373
4 6511189 792 368 820 340 374 786 792 368
4 6511195 797 363 815 345 378 782 810 350
4 6511197 366 794 348 812 727 433 417 743
4 6511198 802 358 820 340 381 779 803 357
4 6511204 800 360 818 342 389 771 779 381
4 6511207 804 356 812 348 362 798 800 360
4 6511210 802 358 806 354 365 795 817 343
4 6511212 356 804 346 814 733 427 415 745
4 6511216 806 354 824 336 364 796 792 368
4 6511222 814 346 814 346 369 791 785 375
4 6511225 806 354 812 348 358 802 798 362
4 6511234 824 336 814 346 355 805 795 365
4 6511240 813 347 811 349 367 793 783 377
4 6511243 823 337 821 339 347 813 813 347
4 6511249 804 356 814 346 377 783 799 361
4 6511251 362 798 344 816 733 427 395 765
4 6511252 814 346 808 352 354 806 792 368
4 6511254 356 804 348 812 752 408 402 758
4 6511258 815 345 809 351 377 783 799 361
4 6511261 812 348 816 344 362 798 786 374
4 6511267 820 340 812 348 358 802 792 368
4 6511270 812 348 814 346 365 795 803 357
4 6511273 813 347 809 351 369 791 793 367
4 6511282 814 346 812 348 346 814 804 356
4 6511288 815 345 813 347 358 802 784 376
4 6511290 353 807 347 813 736 424 394 766
4 6511293 354 806 348 812 748 412 410 750
4 6511294 816 344 812 348 373 787 797 363
4 6511296 358 802 348 812 741 419 405 755
4 6511297 816 344 820 340 357 803 805 355
4 6511299 348 812 352 808 751 409 401 759
4 6511306 819 341 817 343 350 810 798 362
4 6511309 809 351 809 351 347 813 809 351
4 6511315 806 354 808 352 367 793 817 343
4 6511317 358 802 348 812 739 421 401 759
4 6511321 808 352 812 348 381 779 789 371
4 6511324 814 346 804 356 366 794 814 346
4 6511327 808 352 812 348 370 790 814 346
4 6511333 818 342 808 352 357 803 795 365
4 6511335 346 814 358 802 757 403 397 763
4 6511342 813 347 819 341 364 796 814 346
4 6511344 351 809 347 813 743 417 391 769
4 6511345 809 351 815 345 366 794 812 348
4 6511347 352 808 348 812 742 418 406 754
4 6511348 814 346 812 348 377 783 811 349
4 6511350 342 818 356 804 760 400 412 748
4 6511351 818 342 812 348 356 804 790 370
4 6511354 817 343 811 349 350 810 798 362
4 6511363 813 347 807 353 336 824 808 352
4 6511369 815 345 813 347 366 794 808 352
4 6511371 345 815 359 801 751 409 397 763
4 6511372 809 351 809 351 353 807 813 347
4 6511374 345 815 351 809 748 412 402 758
4 6511378 821 339 815 345 352 808 808 352
4 6511380 347 813 357 803 768 392 410 750
4 6511386 347 813 349 811 767 393 399 761
4 6511387 813 347 813 347 362 798 802 358
4 6511390 821 339 805 355 346 814 804 356
4 6511396 813 347 811 349 338 822 822 338
4 6511401 347 813 347 813 748 412 408 752
4 6511404 351 809 347 813 771 389 405 755
4 6511405 817 343 815 345 345 815 803 357
4 6511414 805 355 813 347 353 807 817 343
4 6511420 815 345 809 351 359 801 807 353
4 6511423 813 347 811 349 347 813 801 359
4 6511428 347 813 355 805 772 388 420 740
4 6511432 813 347 809 351 355 805 805 355
4 6511438 807 353 817 343 372 788 794 366
4 6511441 813 347 813 347 353 807 821 339
4 6511450 814 346 812 348 358 802 800 360
4 6511453 808 352 812 348 357 803 799 361
4 6511458 356 804 342 818 750 410 386 774
4 6511459 806 354 814 346 364 796 804 356
4 6511462 812 348 808 352 351 809 809 351
4 6511464 352 808 348 812 758 402 404 756
4 6511468 818 342 812 348 356 804 804 356
4 6511471 812 348 804 356 339 821 811 349
4 6511477 812 348 820 340 347 813 821 339
4 6511486 815 345 813 347 330 830 818 342
4 6511494 342 818 352 808 765 395 415 745
4 6511495 818 342 810 350 348 812 820 340
4 6511498 814 346 814 346 366 794 802 358
4 6511512 348 812 350 810 768 392 386 774
4 6511513 812 348 810 350 348 812 814 346
4 6511516 808 352 812 348 372 788 810 350
4 6511518 342 818 348 812 762 398 400 760
4 6511519 812 348 810 350 354 806 798 362
4 6511522 812 348 816 344 352 808 810 350
4 6511531 817 343 803 357 347 813 805 355
4 6511534 813 347 815 345 353 807 811 349
4 6511540 811 349 811 349 341 819 819 341
4 6511543 807 353 813 347 353 807 807 353
4 6511549 812 348 808 352 355 805 813 347
4 6511558 812 348 808 352 332 828 810 350
4 6511561 816 344 796 364 353 807 783 377
4 6511567 818 342 806 354 341 819 811 349
4 6511576 815 345 811 349 347 813 795 365
4 6511578 345 815 355 805 777 383 417 743
4 6511579 813 347 813 347 360 800 790 370
4 6511585 802 358 806 354 338 822 806 354
4 6511588 812 348 808 352 374 786 802 358
4 6511591 805 355 795 365 341 819 779 381
4 6511594 821 339 811 349 345 815 795 365
4 6511603 812 348 802 358 350 810 794 366
4 6511612 815 345 795 365 346 814 796 364
4 6511624 812 348 796 364 354 806 778 382
4 6511630 813 347 791 369 362 798 798 362
4 6511632 341 819 373 787 751 409 421 739
4 6511636 813 347 789 371 365 795 793 367
4 6511639 820 340 794 366 348 812 784 376
4 6511645 813 347 779 381 359 801 775 385
4 6511648 813 347 801 359 363 797 779 381
4 6511677 342 818 380 780 766 394 418 742
4 87614104 785 375 813 347 606 554 520 640
4 87614137 785 375 815 345 648 512 518 642
4 87614139 380 780 348 812 604 556 558 602
4 87614140 790 370 812 348 632 528 524 636
4 87614161 793 367 819 341 605 555 517 643
4 87614163 366 794 346 814 591 569 597 563
4 87614191 804 356 812 348 650 510 498 662
4 87614193 357 803 345 815 611 549 565 595
4 87614200 812 348 806 354 654 506 518 642
4 87614247 354 806 346 814 606 554 562 598
4 87614248 808 352 812 348 647 513 523 637
4 87614251 804 356 816 344 605 555 539 621
4 87614253 360 800 348 812 563 597 579 581
4 87614254 796 364 816 344 667 493 491 669
4 87614256 362 798 344 816 584 576 566 594
4 87614257 804 356 820 340 654 506 512 648
4 87614259 354 806 338 822 648 512 544 616
4 87614265 353 807 347 813 612 548 542 618
4 87614268 355 805 345 815 650 510 550 610
4 87614272 803 357 817 343 677 483 493 667
4 87614274 357 803 341 819 597 563 557 603
4 87614275 803 357 817 343 640 520 494 666
4 87614278 804 356 820 340 595 565 539 621
4 87614280 358 802 342 818 575 585 593 567
4 87614287 810 350 812 348 610 550 540 620
4 87614295 355 805 347 813 616 544 532 628
4 87614296 805 355 813 347 619 541 547 613
4 87614307 355 805 347 813 578 582 612 548
4 87614311 813 347 805 355 651 509 487 673
4 87614314 813 347 807 353 623 537 539 621
4 87614317 813 347 807 353 669 491 485 675
4 87614319 347 813 353 807 590 570 572 588
4 87614320 817 343 807 353 648 512 496 664
4 87614322 343 817 353 807 639 521 549 611
4 87614325 351 809 345 815 576 584 600 560
4 87614328 357 803 347 813 593 567 543 617
4 87614329 813 347 809 351 638 522 508 652
4 87614335 811 349 813 347 670 490 474 686
4 87614337 347 813 351 809 618 542 542 618
4 87614343 357 803 345 815 577 583 589 571
4 87614344 805 355 813 347 672 488 458 702
4 87614353 815 345 807 353 674 486 464 696
4 87614355 347 813 349 811 618 542 564 596
4 87614356 809 351 815 345 646 514 510 650
4 87614359 815 345 807 353 626 534 516 644
4 87614367 347 813 355 805 598 562 560 600
4 87614368 817 343 807 353 637 523 539 621
4 87614373 349 811 347 813 627 533 551 609
4 87614376 347 813 349 811 617 543 541 619
4 87614379 355 805 347 813 573 587 597 563
4 87614386 813 347 809 351 624 536 560 600
4 87614389 803 357 813 347 680 480 452 708
4 87614392 807 353 813 347 655 505 501 659
4 87614401 815 345 807 353 666 494 500 660
4 87614406 351 809 347 813 567 593 601 559
4 87614409 349 811 345 815 600 560 560 600
4 87614415 347 813 351 809 564 596 584 576
4 87614419 809 351 813 347 646 514 498 662
4 87614424 355 805 347 813 565 595 603 557
4 87614437 807 353 813 347 646 514 530 630
4 87614443 807 353 813 347 673 487 447 713
4 87614446 811 349 813 347 647 513 511 649
4 87614449 807 353 815 345 638 522 520 640
4 87614454 355 805 345 815 632 528 574 586
4 87614482 811 349 813 347 664 496 512 648
4 87614487 355 805 347 813 572 588 588 572
4 87614488 809 351 813 347 695 465 459 701
4 87614490 353 807 345 815 612 548 550 610
4 87614493 345 815 345 815 622 538 544 616
4 87614494 813 347 811 349 619 541 519 641
4 87614496 351 809 347 813 543 617 591 569
4 87614497 805 355 821 339 698 462 480 680
4 87614499 351 809 345 815 599 561 559 601
4 87614502 353 807 345 815 604 556 568 592
4 87614503 809 351 815 345 609 551 509 651
4 87614505 353 807 345 815 572 588 590 570
4 87614506 807 353 815 345 710 450 464 696
4 87614508 357 803 343 817 605 555 557 603
4 87614509 809 351 817 343 668 492 530 630
4 87614511 353 807 345 815 628 532 544 616
4 87614512 807 353 817 343 613 547 521 639
4 87614515 807 353 815 345 696 464 474 686
4 87614518 807 353 815 345 668 492 504 656
4 87614520 355 805 343 817 627 533 529 631
4 87614523 355 805 343 817 576 584 598 562
4 87614524 803 357 815 345 687 473 473 687
4 87614526 353 807 343 817 601 559 563 597
4 87614527 807 353 817 343 672 488 508 652
4 87614529 353 807 343 817 607 553 525 635
4 87614530 807 353 815 345 621 539 515 645
4 87614532 353 807 347 813 555 605 587 573
4 87614533 806 354 816 344 693 467 477 683
4 87614535 353 807 345 815 605 555 579 581
4 87614536 809 351 817 343 677 483 499 661
4 87614538 351 809 343 817 626 534 542 618
4 87614541 353 807 341 819 573 587 581 579
4 87614542 807 353 815 345 689 471 473 687
4 87614544 351 809 341 819 576 584 558 602
4 87614545 807 353 819 341 680 480 510 650
4 87614547 349 811 345 815 620 540 530 630
4 87614548 812 348 814 346 625 535 515 645
4 87614550 343 817 345 815 571 589 599 561
4 87614551 815 345 817 343 695 465 471 689
4 87614553 348 812 342 818 610 550 574 586
4 87614554 812 348 816 344 671 489 503 657
4 87614556 348 812 342 818 622 538 550 610
4 87614557 814 346 820 340 602 558 514 646
4 87614559 346 814 342 818 554 606 570 590
4 87614560 812 348 818 342 706 454 496 664
4 87614562 350 810 344 816 588 572 566 594
4 87614563 814 346 816 344 671 489 517 643
4 87614565 348 812 346 814 618 542 530 630
4 87614566 816 344 816 344 626 534 510 650
4 87614568 342 818 346 814 574 586 596 564
4 87614569 812 348 812 348 687 473 463 697
4 87614571 346 814 344 816 590 570 570 590
4 87614572 814 346 814 346 676 484 510 650
4 87614574 346 814 344 816 617 543 521 639
4 87614575 814 346 818 342 614 546 528 632
4 87614577 348 812 342 818 569 591 607 553
4 87614578 812 348 814 346 710 450 470 690
4 87614580 346 814 346 814 610 550 560 600
4 87614581 817 343 813 347 675 485 507 653
4 87614583 342 818 346 814 618 542 534 626
4 87614584 816 344 816 344 612 548 524 636
4 87614586 346 814 346 814 561 599 607 553
4 87614587 814 346 814 346 694 466 466 694
4 87614589 340 820 342 818 600 560 542 618
4 87614590 818 342 814 346 655 505 513 647
4 87614592 346 814 346 814 614 546 522 638
4 87614593 816 344 816 344 618 542 516 644
4 87614595 346 814 344 816 554 606 604 556
4 87614596 816 344 814 346 720 440 464 696
4 87614598 344 816 346 814 584 576 556 604
4 87614599 816 344 818 342 686 474 510 650
4 87614601 344 816 346 814 633 527 541 619
4 87614602 816 344 814 346 612 548 520 640
4 87614604 344 816 346 814 569 591 601 559
4 87614605 816 344 814 346 707 453 443 717
4 87614607 342 818 342 818 602 558 544 616
4 87614608 816 344 816 344 648 512 518 642
4 87614610 346 814 344 816 615 545 537 623
4 87614611 814 346 818 342 614 546 514 646
4 87614613 346 814 344 816 569 591 599 561
4 87614614 816 344 814 346 693 467 481 679
4 87614616 344 816 346 814 593 567 549 611
4 87614617 814 346 814 346 639 521 543 617
4 87614619 344 816 344 816 628 532 548 612
4 87614620 814 346 816 344 632 528 512 648
4 87614622 346 814 346 814 575 585 617 543
4 87614623 814 346 816 344 707 453 477 683
4 87614625 346 814 346 814 608 552 536 624
4 87614626 814 346 814 346 660 500 504 656
4 87614628 344 816 344 816 606 554 544 616
4 87614629 814 346 816 344 633 527 507 653
4 87614631 346 814 346 814 569 591 605 555
4 87614632 814 346 814 346 703 457 469 691
4 87614634 346 814 344 816 600 560 554 606
4 87614635 816 344 816 344 654 506 504 656
4 87614637 346 814 340 820 625 535 533 627
4 87614638 814 346 818 342 632 528 516 644
4 87614640 344 816 346 814 581 579 587 573
4 87614641 814 346 814 346 681 479 485 675
4 87614643 346 814 344 816 594 566 562 598
4 87614644 816 344 814 346 646 514 488 672
4 87614646 344 816 346 814 624 536 556 604
4 87614647 814 346 818 342 613 547 511 649
4 87614649 346 814 344 816 581 579 615 545
4 87614650 816 344 814 346 691 469 463 697
4 87614652 346 814 344 816 596 564 558 602
4 87614653 816 344 816 344 656 504 514 646
4 87614655 342 818 344 816 617 543 537 623
4 87614656 816 344 814 346 642 518 524 636
4 87614658 344 816 346 814 566 594 598 562
4 87614659 818 342 816 344 704 456 472 688
4 87614661 342 818 344 816 612 548 558 602
4 87614662 814 346 818 342 642 518 508 652
4 87614664 344 816 344 816 610 550 552 608
4 87614665 818 342 818 342 639 521 509 651
4 87614667 346 814 346 814 573 587 599 561
4 87614668 814 346 814 346 694 466 458 702
4 87614670 346 814 346 814 609 551 547 613
4 87614671 814 346 814 346 627 533 519 641
4 87614673 344 816 344 816 622 538 528 632
4 87614674 816 344 816 344 633 527 509 651
4 87614676 342 818 342 818 553 607 625 535
4 87614677 816 344 816 344 711 449 481 679
4 87614679 344 816 346 814 613 547 545 615
4 87614680 816 344 816 344 657 503 513 647
4 87614682 344 816 344 816 611 549 549 611
4 87614683 816 344 814 346 636 524 510 650
4 87614685 346 814 346 814 568 592 592 568
4 87614686 816 344 814 346 712 448 474 686
4 87614688 344 816 346 814 594 566 530 630
4 87614689 814 346 814 346 618 542 522 638
4 87614691 346 814 344 816 603 557 573 587
4 87614692 816 344 816 344 650 510 496 664
4 87614694 344 816 346 814 563 597 609 551
4 87614695 818 342 814 346 705 455 477 683
4 87614697 346 814 346 814 625 535 537 623
4 87614698 816 344 818 342 628 532 518 642
4 87614700 344 816 344 816 618 542 564 596
4 87614701 814 346 814 346 643 517 487 673
4 87614703 344 816 344 816 561 599 605 555
4 87614704 814 346 814 346 725 435 461 699
4 87614706 344 816 346 814 604 556 524 636
4 87614707 814 346 814 346 642 518 520 640
4 87614709 344 816 346 814 617 543 565 595
4 87614710 816 344 814 346 630 530 492 668
4 87614712 346 814 344 816 564 596 608 552
4 87614713 816 344 814 346 706 454 470 690
4 87614715 344 816 344 816 600 560 532 628
4 87614716 814 346 816 344 636 524 534 626
4 87614718 342 818 344 816 619 541 563 597
4 87614719 818 342 816 344 652 508 504 656
4 87614721 344 816 344 816 552 608 608 552
4 87614722 818 342 816 344 706 454 466 694
4 87614724 346 814 342 818 614 546 530 630
4 87614725 814 346 818 342 646 514 516 644
4 87614727 346 814 344 816 600 560 568 592
4 87614728 816 344 816 344 633 527 509 651
4 87614730 346 814 346 814 563 597 615 545
4 87614731 814 346 814 346 709 451 467 693
4 87614733 344 816 344 816 597 563 543 617
4 87614734 814 346 816 344 635 525 511 649
4 87614736 346 814 344 816 628 532 574 586
4 87614737 816 344 818 342 639 521 501 659
4 87614739 344 816 342 818 570 590 590 570
4 87614740 814 346 818 342 698 462 454 706
4 87614742 346 814 344 816 607 553 545 615
4 87614743 814 346 818 342 635 525 525 635
4 87614745 344 816 344 816 614 546 562 598
4 87614746 814 346 816 344 649 511 507 653
4 87614748 346 814 344 816 559 601 615 545
4 87614749 816 344 814 346 699 461 475 685
4 87614751 345 815 345 815 606 554 540 620
4 87614752 815 345 815 345 634 526 520 640
4 87614754 345 815 345 815 596 564 574 586
4 87614755 815 345 815 345 665 495 483 677
4 87614757 345 815 345 815 569 591 581 579
4 87614758 815 345 815 345 681 479 471 689
4 87614760 343 817 345 815 616 544 544 616
4 87614761 817 343 815 345 638 522 524 636
4 87614763 346 814 342 818 591 569 591 569
4 87614764 816 344 814 346 670 490 490 670
4 87614766 344 816 346 814 576 584 596 564
4 87614767 816 344 814 346 684 476 466 694
4 87614769 342 818 346 814 606 554 540 620
4 87614770 818 342 814 346 638 522 528 632
4 87614772 344 816 346 814 590 570 574 586
4 87614773 818 342 816 344 665 495 495 665
4 87614775 342 818 344 816 563 597 585 575
4 87614776 816 344 814 346 686 474 476 684
4 87614778 344 816 346 814 613 547 541 619
4 87614779 816 344 818 342 647 513 523 637
4 87614781 346 814 346 814 594 566 588 572
4 87614782 814 346 814 346 665 495 491 669
4 87614784 344 816 344 816 577 583 593 567
4 87614785 818 342 814 346 693 467 475 685
4 87614787 342 818 346 814 601 559 539 621
4 87614788 816 344 814 346 631 529 531 629
4 87614790 344 816 344 816 583 577 587 573
4 87614791 816 344 816 344 672 488 468 692
4 87614793 344 816 342 818 567 593 573 587
4 87614794 816 344 818 342 696 464 470 690
4 87614796 344 816 346 814 611 549 523 637
4 87614797 814 346 816 344 640 520 536 624
4 87614799 346 814 344 816 607 553 589 571
4 87614800 816 344 814 346 668 492 482 678
4 87614802 346 814 344 816 557 603 599 561
4 87614803 814 346 816 344 686 474 472 688
4 87614805 344 816 346 814 615 545 521 639
4 87614806 814 346 814 346 620 540 524 636
4 87614808 346 814 344 816 596 564 602 558
4 87614809 818 342 818 342 653 507 479 681
4 87614811 346 814 346 814 568 592 582 578
4 87614812 814 346 816 344 685 475 461 699
4 87614814 344 816 344 816 613 547 533 627
4 87614815 814 346 814 346 626 534 542 618
4 87614817 346 814 342 818 587 573 613 547
4 87614818 814 346 816 344 680 480 476 684
4 87614820 342 818 344 816 558 602 586 574
4 87614821 816 344 814 346 701 459 475 685
4 87614823 346 814 346 814 615 545 531 629
4 87614824 816 344 818 342 628 532 532 628
4 87614826 344 816 342 818 606 554 610 550
4 87614827 814 346 814 346 676 484 462 698
4 87614829 346 814 344 816 568 592 578 582
4 87614830 816 344 818 342 694 466 474 686
4 87614832 346 814 342 818 612 548 528 632
4 87614833 814 346 816 344 623 537 529 631
4 87614835 344 816 344 816 593 567 597 563
4 87614836 818 342 816 344 681 479 483 677
4 87614838 342 818 344 816 565 595 569 591
4 87614839 816 344 818 342 683 477 477 683
4 87614841 346 814 344 816 624 536 548 612
4 87614842 814 346 814 346 622 538 536 624
4 87614844 346 814 346 814 589 571 603 557
4 87614845 814 346 816 344 678 482 480 680
4 87614847 344 816 342 818 558 602 582 578
4 87614848 816 344 816 344 696 464 470 690
4 87614850 342 818 346 814 610 550 552 608
4 87614851 814 346 816 344 642 518 520 640
4 87614853 346 814 344 816 581 579 589 571
4 87614854 814 346 816 344 684 476 472 688
4 87614856 346 814 344 816 578 582 572 588
4 87614857 816 344 816 344 672 488 470 690
4 87614859 344 816 346 814 617 543 539 621
4 87614860 816 344 814 346 633 527 541 619
4 87614862 346 814 346 814 589 571 583 577
4 87614863 814 346 814 346 660 500 482 678
4 87614865 344 816 346 814 569 591 589 571
4 87614866 814 346 814 346 682 478 478 682
4 87614868 346 814 346 814 615 545 533 627
4 87614869 816 344 814 346 647 513 537 623
4 87614871 346 814 344 816 580 580 586 574
4 87614872 814 346 814 346 685 475 479 681
4 87614874 342 818 346 814 559 601 579 581
4 87614875 820 340 814 346 691 469 475 685
4 87614877 344 816 344 816 617 543 531 629
4 87614878 816 344 816 344 647 513 541 619
4 87614880 346 814 344 816 568 592 590 570
4 87614881 814 346 816 344 677 483 467 693
4 87614883 344 816 346 814 549 611 579 581
4 87614884 816 344 818 342 683 477 473 687
4 87614886 346 814 344 816 611 549 535 625
4 87614887 814 346 814 346 641 519 537 623
4 87614889 344 816 344 816 578 582 612 548
4 87614890 814 346 814 346 685 475 465 695
4 87614892 344 816 346 814 584 576 570 590
4 87614893 816 344 816 344 672 488 476 684
4 87614895 346 814 346 814 630 530 556 604
4 87614896 816 344 818 342 642 518 540 620
4 87614898 346 814 346 814 582 578 602 558
4 87614899 816 344 814 346 665 495 449 711
4 87614901 340 820 346 814 559 601 563 597
4 87614902 816 344 814 346 677 483 499 661
4 87614904 344 816 342 818 618 542 530 630
4 87614905 818 342 818 342 644 516 524 636
4 87614907 346 814 344 816 589 571 601 559
4 87614908 816 344 814 346 670 490 466 694
4 87614910 346 814 344 816 564 596 570 590
4 87614911 814 346 816 344 682 478 476 684
4 87614913 342 818 344 816 632 528 546 614
4 87614914 814 346 816 344 630 530 544 616
4 87614916 346 814 346 814 575 585 593 567
4 87614917 816 344 816 344 672 488 468 692
4 87614919 344 816 342 818 567 593 563 597
4 87614920 814 346 816 344 682 478 496 664
4 87614922 346 814 342 818 630 530 554 606
4 87614923 816 344 818 342 634 526 544 616
4 87614925 346 814 346 814 575 585 603 557
4 87614926 814 346 814 346 682 478 452 708
4 87614928 346 814 344 816 569 591 569 591
4 87614929 814 346 818 342 675 485 479 681
4 87614931 346 814 344 816 624 536 548 612
4 87614932 814 346 814 346 642 518 540 620
4 87614934 342 818 344 816 570 590 602 558
4 87614935 816 344 816 344 687 473 467 693
4 87614937 342 818 344 816 557 603 575 585
4 87614938 816 344 818 342 681 479 469 691
4 87614940 344 816 342 818 633 527 555 605
4 87614941 816 344 816 344 631 529 547 613
4 87614943 346 814 344 816 576 584 610 550
4 87614944 816 344 818 342 683 477 447 713
4 87614946 344 816 344 816 565 595 577 583
4 87614947 816 344 814 346 677 483 489 671
4 87614949 347 813 345 815 638 522 534 626
4 87614950 817 343 813 347 640 520 540 620
4 87614952 343 817 345 815 571 589 595 565
4 87614953 815 345 815 345 682 478 456 704
4 87614955 343 817 345 815 569 591 565 595
4 87614956 817 343 815 345 669 491 481 679
4 87614958 347 813 347 813 621 539 563 597
4 87614959 815 345 815 345 649 511 539 621
4 87614961 345 815 343 817 564 596 610 550
4 87614962 815 345 817 343 669 491 439 721
4 87614964 343 817 345 815 579 581 571 589
4 87614965 815 345 815 345 681 479 471 689
4 87614967 343 817 347 813 621 539 545 615
4 87614968 817 343 813 347 639 521 547 613
4 87614970 345 815 347 813 575 585 605 555
4 87614971 817 343 813 347 680 480 452 708
4 87614973 343 817 345 815 575 585 575 585
